epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,4860.53,0.17983,0.90621,0.97518,0.69225,0.79749,0.78848,0.70987,0.48779,0.71624,0.70444,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4936.07,0.17745,0.89892,0.97149,0.66937,0.82,0.77909,0.70037,0.48766,0.72006,0.71285,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5010.92,0.17549,0.89278,0.97218,0.66266,0.82849,0.78047,0.70302,0.48341,0.72944,0.69888,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5085.64,0.1727,0.89237,0.97141,0.66026,0.81664,0.7787,0.70004,0.48669,0.72956,0.70329,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5161.16,0.17424,0.8989,0.97081,0.65994,0.82047,0.78286,0.70709,0.4801,0.72501,0.69011,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5236.06,0.17123,0.88104,0.96982,0.66484,0.81302,0.77959,0.70429,0.48544,0.72599,0.70153,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5311.27,0.16911,0.8759,0.96774,0.67896,0.81152,0.78399,0.70631,0.47838,0.71672,0.69346,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5386.55,0.16755,0.88708,0.9664,0.67207,0.8099,0.77856,0.70118,0.47184,0.71496,0.6826,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5461.75,0.16559,0.87705,0.96564,0.6765,0.80339,0.77729,0.69851,0.48159,0.72016,0.6983,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5536.8,0.16942,0.8743,0.96768,0.69461,0.80865,0.77946,0.70105,0.48163,0.71691,0.70113,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5612.25,0.16582,0.8746,0.96721,0.67846,0.81889,0.78084,0.70377,0.4763,0.72019,0.69667,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5687.41,0.16374,0.86611,0.96445,0.6715,0.82526,0.7827,0.70442,0.4833,0.71404,0.70903,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5762.5,0.16135,0.8691,0.96418,0.68452,0.81149,0.78324,0.70492,0.48041,0.71152,0.69866,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5837.49,0.15902,0.85958,0.96215,0.69523,0.80405,0.78692,0.7078,0.47916,0.71524,0.6908,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5911.88,0.16176,0.86909,0.96488,0.69946,0.79128,0.78714,0.7093,0.48179,0.71566,0.69389,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5986.6,inf,0.85904,0.96389,0.69258,0.81655,0.78721,0.70915,0.48629,0.72283,0.70026,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6061.73,0.15626,0.84852,0.96046,0.67649,0.82766,0.78614,0.70816,0.48641,0.72755,0.69966,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6136.82,0.15695,0.85809,0.96124,0.6811,0.82619,0.78658,0.70812,0.48501,0.72411,0.69701,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6211.78,0.1568,0.84976,0.96327,0.67901,0.83317,0.78545,0.70725,0.48712,0.7257,0.70293,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6286.71,0.15596,0.84552,0.96146,0.67499,0.82756,0.78618,0.70723,0.48503,0.72463,0.69994,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6361.91,0.15447,0.83969,0.9606,0.66542,0.8348,0.78437,0.70634,0.47934,0.72429,0.69232,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6437.14,inf,0.83743,0.96018,0.66532,0.83583,0.78344,0.70596,0.48176,0.72386,0.69552,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6512.42,0.15365,0.8452,0.96105,0.6791,0.82179,0.78557,0.70743,0.48418,0.72566,0.69884,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
